"ID","Age","Employment","Education","Marital","Occupation","Income","Gender","Deductions","Hours","Accounts","Adjustment","Target"
1002020,45,"Private","Bachelor","Married","Repair",27743.82,"Male",0,55,"UnitedStates",7298,1
1002619,35,"Private","Yr12","Married","Machinist",NA,NA,0,40,"UnitedStates",0,0
1003536,22,"Private","HSgrad","Absent","Sales",52466.49,"Female",0,37,"UnitedStates",0,0
1003744,48,"Private","College","Divorced","Service",291416.11,NA,0,35,"UnitedStates",0,0
1003769,60,"Private","Vocational","Widowed","Clerical",24155.31,"Male",0,40,"UnitedStates",0,0
1004641,50,"Private","Master","Married","Executive",34919.16,"Male",0,40,"Philippines",NA,1
1004863,37,"Private","HSgrad","Divorced","Executive",67176.79,"Male",0,35,"UnitedStates",0,0
1005897,32,"Private","HSgrad","Married","Machinist",12475.84,"Male",0,NA,"UnitedStates",0,0
1006234,65,"SelfEmp","College","Married","Sales",32963.39,"Male",0,40,NA,0,0
1006544,40,"PSLocal","Vocational","Divorced","Executive",182165.08,"Female",0,40,"UnitedStates",0,0
1006620,41,"PSState","Bachelor",NA,"Executive",70603.7,"Male",0,40,"UnitedStates",0,0
1007007,NA,"Private","HSgrad","Absent","Service",88125.97,"Male",0,30,"UnitedStates",0,0
1007376,38,"Private","HSgrad","Married","Repair",8670.9,"Male",0,40,"UnitedStates",0,0
1007558,23,"Private","Yr11","Unmarried","Professional",260405.44,"Male",0,35,"UnitedStates",0,0
1007873,42,"PSState","College","Absent","Executive",66139.36,"Female",0,40,"UnitedStates",0,0
1007970,26,"Private","Bachelor","Absent","Sales",73751.48,"Female",0,NA,"UnitedStates",0,0
1007998,32,"Consultant","HSgrad","Married","Sales",1428.27,"Male",0,60,"UnitedStates",28235,1
1008367,26,"Private","HSgrad","Married","Repair",48114.39,"Male",0,40,"Mexico",0,0
1008780,28,"Private","Yr10","Married","Machinist",33493.89,"Male",0,40,"UnitedStates",0,0
1008837,41,"PSFederal","Bachelor","Married","Support",54653.36,"Male",0,24,"UnitedStates",0,0
1008976,46,"Private","HSgrad","Absent","Service",229077.27,"Female",0,24,"UnitedStates",0,0
1009004,42,"Private","College","Absent","Machinist",59201.06,"Female",0,40,"UnitedStates",0,0
1009688,39,"Private","College","Divorced","Clerical",31036.73,"Female",0,40,"UnitedStates",0,0
1010229,50,"Private","Yr11","Absent","Machinist",187250.07,"Female",0,40,"UnitedStates",0,0
1010345,47,"PSLocal","Doctorate","Absent","Professional",161837.75,"Female",0,40,"UnitedStates",0,0
1010560,24,"Private","Associate","Unmarried","Repair",193135.59,"Male",0,40,"UnitedStates",8614,1
1010929,45,"Private","Vocational","Married","Repair",26717.49,"Male",0,40,"UnitedStates",0,0
1011100,51,"SelfEmp","Doctorate","Married","Professional",13612.07,"Male",0,40,"UnitedStates",15024,1
1011271,77,NA,"HSgrad","Married","Service",39950.92,"Male",0,25,"Cuba",0,0
1011770,39,"PSState","Bachelor","Absent","Executive",92268.68,"Female",0,40,"UnitedStates",0,0
1012297,63,"SelfEmp","Bachelor","Married","Farming",9092.19,"Male",0,40,"UnitedStates",12467,1
1012621,64,"Private","HSgrad","Widowed","Service",NA,"Female",0,38,"UnitedStates",0,0
1013031,39,"Private","Bachelor","Married","Professional",21190.02,"Male",0,40,"UnitedStates",3611,1
1013401,18,"Unemployed","Yr11","Absent",NA,148836.93,"Female",0,10,"UnitedStates",0,0
1013806,42,"PSLocal","College","Married","Executive",48422.28,"Male",NA,45,"UnitedStates",3187,1
1015173,32,"Private","HSgrad","Married","Machinist",14657.59,"Male",0,40,"UnitedStates",0,0
1015331,27,"Private","Bachelor","Absent","Professional",89775.14,"Male",0,40,NA,13550,1
1015930,21,"Private","College",NA,"Clerical",43362.93,"Male",0,65,"UnitedStates",0,0
1016862,43,NA,NA,"Absent",NA,61192.65,"Female",0,40,"UnitedStates",0,0
1017225,31,"Private","Bachelor","Absent","Executive",83143.19,"Male",1160.66666666667,38,"UnitedStates",0,0
1017509,56,"PSFederal","Bachelor","Divorced","Clerical",37078.8,"Male",0,40,"UnitedStates",0,0
1017673,62,"Volunteer","Associate","Married","Farming",51230.5,"Male",0,50,"UnitedStates",0,0
1017808,28,"Private","Associate","Absent","Transport",166953.87,"Male",0,60,"UnitedStates",0,0
1017960,39,"Private","HSgrad","Married","Executive",28907.41,"Male",0,40,"UnitedStates",0,0
1018374,61,"PSLocal","Master","Absent","Professional",5138.14,"Female",0,25,"UnitedStates",0,0
1018696,32,"Private","HSgrad","Absent","Sales",82182.54,"Female",0,50,"UnitedStates",0,0
1018774,48,"PSState","Bachelor","Married","Executive",45239,"Male",0,NA,"UnitedStates",12988,1
1019320,27,"Private","HSgrad","Married","Farming",25990.54,"Male",0,40,"UnitedStates",0,0
1019949,37,"Private","HSgrad","Absent","Machinist",83414.55,"Male",0,40,"UnitedStates",0,0
1020200,43,"Private","College","Married","Repair",NA,"Male",0,38,"UnitedStates",0,0
1020313,47,"Consultant","HSgrad","Married","Machinist",61231.06,"Male",0,40,"UnitedStates",7298,1
1020749,33,"Private","Yr11","Absent","Service",32550.53,"Male",0,40,"UnitedStates",0,0
